Game_Title,Platform,Release_Date,Meta_Score,User_Score
NBA 2K8,PlayStation3,,81,6.8
To the Moon,PC,,81,8.9
Madden NFL 15,PlayStation4,,81,6.0
Slime-san: Superslime Edition,PlayStation4,,81,6.5
Quadrilateral Cowboy,PC,,81,7.0
Kingdoms of Amalur: Reckoning - The Legend of Dead Kel,Xbox360,,81,7.8
The Sims 3: World Adventures,PC,,81,7.7
Hellblade: Senua's Sacrifice,PlayStation4,,81,7.9
Painkiller,PC,,81,8.1
Disgaea 5 Complete,Switch,2017-05-23,81,8.4
WarioWare: Touched!,DS,,81,8.1
Plants vs Zombies: Garden Warfare 2,PlayStation4,,81,7.7
NHL 2K6,PlayStation2,,81,5.8
Torchlight,Xbox360,,81,7.7
Danganronpa V3: Killing Harmony,PlayStation4,,81,7.5
Bomberman Ultra,PlayStation3,,81,7.7
Growlanser Generations,PlayStation2,,81,8.8
Airborne Assault: Highway to the Reich,PC,,81,6.1
NCAA March Madness 2004,Xbox,,81,tbd
Nancy Drew: Danger on Deception Island,PC,,81,7.7
Doom,GameBoyAdvance,,81,8.8
NASCAR Heat 2002,PlayStation2,,81,8.5
Shadowrun: Hong Kong,PC,,81,7.8
Fieldrunners,PSP,,81,7.1
Kirby: Planet Robobot,3DS,,81,8.5
War Thunder,PC,,81,5.8
Race Driver 2006,PSP,,81,7.3
Mario & Luigi: Superstar Saga + Bowser's Minions,3DS,,81,8.3
Renegade Ops,Xbox360,,81,8.1
Where is My Heart?,PSP,,81,8.0
Saints Row,Xbox360,,81,7.6
Hitman - Episode 6: Hokkaido,PlayStation4,,81,6.9
Art Academy: Lessons for Everyone,3DS,,81,7.6
Lumines II,PSP,,81,7.6
Splatoon,WiiU,2015-05-29,81,8.7
Supreme Commander: Forged Alliance,PC,,81,8.8
Drill Dozer,GameBoyAdvance,,81,8.8
Super One More Jump,Switch,,81,8.4
Oxenfree,Switch,,81,7.7
Sunless Sea,PC,,81,7.6
The Walking Dead: Season Two Episode 3 - In Harm's Way,PC,2014-05-13,81,8.3
Duke Nukem Advance,GameBoyAdvance,,81,8.3
Marvel Heroes 2015,PC,,81,8.2
Football Manager 2016,PC,,81,7.0
Tearaway Unfolded,PlayStation4,,81,8.0
Trackmania Turbo,PlayStation4,,81,7.5
Ratchet: Deadlocked,PlayStation2,,81,8.8
Phantom Brave,PlayStation2,,81,7.8
LEGO Star Wars II: The Original Trilogy,Xbox360,,81,8.0
VVVVVV,PC,,81,7.9
Monster Hunter Freedom Unite,PSP,,81,8.5
Tokyo Mirage Sessions #FE Encore,Switch,,81,6.2
The Sims 4: Discover University,PC,,81,4.5
Contra Anniversary Collection,Switch,,81,7.0
Stellaris: Console Edition,XboxOne,,81,7.1
The Sims 4: Seasons,PC,,81,6.2
Teslagrad,Switch,,81,8.0
Call of Duty: Black Ops III,XboxOne,,81,4.6
Darksiders II,PC,,81,7.9
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,PSP,,81,9.7
NBA 2K7,PlayStation2,,81,8.4
Saints Row 2,Xbox360,,81,8.2
Tom Clancy's Rainbow Six Vegas 2,PlayStation3,,81,7.9
Resident Evil 5: Lost in Nightmares,PlayStation3,,81,7.8
Wolfenstein: The New Order,PC,2014-05-19,81,8.2
Fallout: New Vegas - Old World Blues,PlayStation3,,81,7.6
Amnesia: Rebirth,PC,,81,6.3
Super Mega Baseball 2,XboxOne,2018-05-01,81,7.2
Remnant: From the Ashes - Swamps of Corsus,PC,,81,7.1
World of Final Fantasy Maxima,XboxOne,,81,7.8
Mega Man Anniversary Collection,PlayStation2,,81,8.8
The Sims Bustin' Out,PlayStation2,,81,8.4
Mortal Kombat: Deadly Alliance,Xbox,,81,8.2
Medal of Honor Frontline,Xbox,,81,7.3
NHL Hitz 20-03,Xbox,,81,7.9
Star Wars: Jedi Starfighter,PlayStation2,,81,8.3
FIFA Soccer 2002,GameCube,,81,8.3
TimeSplitters,PlayStation2,,81,7.9
Downwell,PC,,81,6.6
From Dust,PlayStation3,,81,7.0
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,,81,8.1
Lone Survivor,PC,,81,7.4
NCAA Football 08,Xbox360,,81,7.8
The Lion's Song,Switch,,81,8.0
Deus Ex: Mankind Divided - A Criminal Past,PlayStation4,,81,6.8
Call of Duty: Advanced Warfare,XboxOne,,81,5.5
Star Wars Jedi: Fallen Order,XboxOne,,81,8.2
Star Wars Jedi: Fallen Order,PC,,81,7.9
Capcom Classics Collection,Xbox,,81,tbd
Nioh 2: Darkness in the Capital,PlayStation4,,81,6.8
Rising Storm 2: Vietnam,PC,2017-05-30,81,7.5
Alien: Isolation,PC,,81,8.5
Phantom Dust,Xbox,,81,7.6
The Witcher,PC,,81,8.7
Unravel Two,XboxOne,,81,7.4
Overcooked! 2,Switch,,81,7.7
Phoenix Wright: Ace Attorney Trilogy,3DS,,81,8.5
Kentucky Route Zero - Act I,PC,,81,7.5
Call of Duty: Black Ops II,WiiU,,81,6.9
Going Under,Switch,,81,tbd
Jet Lancer,Switch,2020-05-12,81,tbd
Hunt: Showdown,PlayStation4,,81,6.9
Aviary Attorney: Definitive Edition,Switch,,81,7.9
Frog Detective 2: The Case of the Invisible Wizard,PC,,81,tbd
The Elder Scrolls Online: Dragonhold,PC,,81,4.6
Irony Curtain: From Matryoshka with Love,PC,2019-05-16,81,7.9
Unruly Heroes,PC,,81,6.7
Lone Survivor: The Director's Cut,PlayStationVita,,81,8.0
Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,Wii,,81,8.6
SnowRunner,PC,,81,6.6
Stygian: Reign of the Old Ones,PC,,81,8.0
Dishonored: The Brigmore Witches,Xbox360,,81,7.6
Life is Strange: Episode 3 - Chaos Theory,PlayStation4,2015-05-19,81,8.2
Virtua Fighter 5 Final Showdown,Xbox360,,81,8.0
Life is Strange: Before the Storm - Episode 3: Hell is Empty,XboxOne,,81,7.7
Mega Man Zero 2,GameBoyAdvance,,81,8.8
Major League Baseball 2K5,Xbox,,81,8.2
MORDHAU,PC,,81,8.0
FAST Racing NEO,WiiU,,81,8.6
Faeria,PC,,81,7.8
Gunslugs,PlayStationVita,,81,7.2
Jade Empire: Special Edition,PC,,81,8.1
Sensible World of Soccer,Xbox360,,81,7.4
Ashen,PC,,81,6.0
Mighty Milky Way,DS,2011-05-09,81,7.9
Shift 2: Unleashed,PlayStation3,,81,6.4
NFL Street,GameCube,,81,8.2
Time Crisis 3,PlayStation2,,81,7.9
Pro Race Driver,PlayStation2,,81,8.6
Time Crisis II,PlayStation2,,81,7.9
SWAT 3: Elite Edition,PC,,81,8.0
Asheron's Call,PC,,81,8.5
Brave Fencer Musashi,PlayStation,,81,8.5
Trauma Center: Under the Knife,DS,,81,8.3
"Sakura Wars: So Long, My Love",PlayStation2,,81,7.7
Mario Golf: Toadstool Tour,GameCube,,81,8.1
Cities: Skylines - PlayStation 4 Edition,PlayStation4,,81,7.3
Unravel,PC,,81,7.6
3D Fantasy Zone II W,3DS,,81,7.0
Midnight Club II,PC,,81,7.8
Chessmaster 10th Edition,PC,,81,7.5
Hitman: Blood Money,Xbox,2006-05-30,81,8.6
VOEZ,Switch,,81,8.0
Fire Emblem: Shadow Dragon,DS,,81,7.1
The Pedestrian,PC,,81,7.7
Age of Empires III,PC,,81,7.8
Tales of Monkey Island Chapter 5: Rise of the Pirate God,PC,,81,7.6
Fortnite,PC,,81,2.8
Castlevania: Lords of Shadow - Ultimate Edition,PC,,81,7.5
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,PC,,81,7.2
Toy Soldiers: Cold War,Xbox360,,81,8.6
The Elder Scrolls V: Skyrim VR,PC,,81,6.9
The Cat Lady,PC,,81,8.6
Assassin's Creed,Xbox360,,81,7.6
Overcooked! 2,PlayStation4,,81,8.1
Guitar Hero Live,XboxOne,,81,5.0
Bloodroots,PlayStation4,,81,6.5
Skylanders SuperChargers,PlayStation4,,81,3.6
ilomilo,Xbox360,,81,8.2
Vessel,PC,,81,7.8
Dawn of Discovery,Wii,,81,8.1
Captain Toad: Treasure Tracker,WiiU,,81,8.6
Metro 2033,PC,,81,8.0
College Hoops 2K7,PlayStation3,,81,7.1
Fire Emblem Echoes: Shadows of Valentia,3DS,2017-05-19,81,8.6
Phoenix Wright: Ace Attorney,DS,,81,9.0
Life is Strange: Episode 5 - Polarized,PlayStation4,,81,8.3
NBA Jam: On Fire Edition,PlayStation3,,81,7.3
Mario & Luigi: Dream Team,3DS,,81,8.2
Uno,Xbox360,2006-05-09,81,7.9
Operencia: The Stolen Sun,Switch,,81,7.6
Wunderling,Switch,,81,8.0
SteamWorld Heist,PC,,81,7.8
OutRun 2006: Coast 2 Coast,PC,,81,7.6
Peter Jackson's King Kong: The Official Game of the Movie,GameCube,,81,8.5
echochrome,PlayStation3,2008-05-01,81,7.3
Blur,PC,2010-05-25,81,7.4
LEGO Batman 2: DC Super Heroes,PlayStation3,,81,7.4
Helldivers,PlayStation4,,81,8.0
Mega Man Anniversary Collection,GameCube,,81,8.8
The Sims Bustin' Out,GameCube,,81,8.4
Empires: Dawn of the Modern World,PC,,81,7.9
Chessmaster 9000,PC,,81,7.6
Gothic,PC,,81,8.8
Arcanum: Of Steamworks and Magick Obscura,PC,,81,8.7
NASCAR Heat,PC,,81,7.7
Professor Layton and the Azran Legacy,3DS,,81,8.1
Company of Heroes 2: Ardennes Assault,PC,,81,6.3
PlanetSide,PC,2003-05-20,81,7.3
Tales From The Borderlands: Episode 3 - Catch A Ride,PC,,81,8.4
The Walking Dead: Season Two Episode 2 - A House Divided,PC,,81,8.5
Star Wars Jedi Knight II: Jedi Outcast,Xbox,,81,6.1
R-Type Dimensions EX,Switch,,81,7.5
Rune Factory 4 Special,Switch,,81,8.0
Finding Paradise,PC,,81,8.3
Kingdoms of Amalur: Reckoning,PC,,81,6.7
Brothers: A Tale of Two Sons,PlayStation4,,81,8.0
Broken Age,PlayStation4,,81,7.2
Life is Strange: Episode 4 - Dark Room,PlayStation4,,81,8.4
WindJammers,Switch,,81,8.1
Tiger Woods PGA Tour 06,Xbox,,81,5.1
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,PC,,81,7.8
Sunset Overdrive,XboxOne,,81,7.8
Super Time Force,Xbox360,2014-05-14,81,5.8
Toy Soldiers,Xbox360,,81,8.7
Stormland,PC,,81,7.5
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,PC,,81,7.1
SSX,PlayStation3,,81,6.8
Borderlands,PC,,81,7.6
DG2: Defense Grid 2,PC,,81,6.7
Crysis,PlayStation3,,81,7.0
Crysis,Xbox360,,81,7.6
Just Cause 2,Xbox360,,81,8.0
Mario Tennis: Power Tour,GameBoyAdvance,,81,8.4
RAGE,Xbox360,,81,6.7
Napoleon: Total War,PC,,81,7.9
Overlord,PC,,81,8.1
Rockstar Games presents Table Tennis,Xbox360,2006-05-22,81,7.6
Metal Gear Solid HD Collection,PlayStationVita,,81,8.5
Untitled Goose Game,Switch,,81,7.6
Jak and Daxter Collection,PlayStation3,,81,8.7
Samurai Shodown,PlayStation4,,81,7.8
Firewatch,PC,,81,7.0
No More Heroes,Switch,,81,9.6
Filament,PC,,81,7.5
Torchlight II,Switch,,81,8.4
Hunt: Showdown,PC,,81,7.1
The Gardens Between,XboxOne,,81,6.8
Madden NFL 19,XboxOne,,81,2.9
Reigns: Her Majesty,PC,,81,7.1
Children of Zodiarcs,PlayStation4,,81,5.7
Little Nightmares,PC,,81,8.1
Shantae: Half-Genie Hero,PlayStation4,,81,7.5
Watch Dogs 2,XboxOne,,81,7.4
Zombie Night Terror,PC,,81,7.9
Victoria II: Heart of Darkness,PC,,81,8.6
Terraria,PlayStation3,,81,8.0
Borderlands 2: Captain Scarlett and Her Pirate's Booty,Xbox360,,81,7.6
Waveform,PC,,81,7.3
Bit.Trip Flux,Wii,,81,7.7
Fallout 3: Broken Steel,PlayStation3,,81,7.8
Personal Trainer: Cooking,DS,,81,7.8
Tiger Woods PGA Tour 08,DS,,81,7.6
Tiger Woods PGA Tour 08,DS,,81,7.6
NBA Street Homecourt,PlayStation3,,81,6.2
The Elder Scrolls IV: Knights of the Nine,PC,,81,7.4
Red Orchestra: Ostfront 41-45,PC,,81,8.6
SSX On Tour,Xbox,,81,8.1
Hot Shots Golf: Open Tee,PSP,2005-05-03,81,8.5
Kingdom Under Fire: The Crusaders,Xbox,,81,8.1
The Sims Bustin' Out,Xbox,,81,8.0
The Simpsons: Hit & Run,Xbox,,81,8.4
Karnaaj Rally,GameBoyAdvance,,81,7.0
Stronghold,PC,,81,8.8
Star Fox 64 3D,3DS,,81,8.1
Yoshi's Island DS,DS,,81,7.5
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,,81,8.7
Life is Strange 2: Episode 1 - Roads,PlayStation4,,81,6.3
Freedom Fighters,PlayStation2,,81,8.2
Phoenix Wright: Ace Attorney - Spirit of Justice,3DS,,81,8.3
CHUCHEL,PC,,81,6.6
Gran Turismo 6,PlayStation3,,81,8.0
Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,PC,,81,7.8
GoldenEye 007,Wii,,81,7.7
Kirby: Nightmare in Dream Land,GameBoyAdvance,,81,8.6
Rochard,PC,,81,7.8
The Dishwasher: Vampire Smile,Xbox360,,81,8.2
SnowRunner,XboxOne,,81,7.4
Middle-earth: Shadow of War,XboxOne,,81,4.2
Fallout 3: Broken Steel,PC,2009-05-05,81,7.2
Winning Eleven: Pro Evolution Soccer 2007,PSP,,81,8.3
Persona Q2: New Cinema Labyrinth,3DS,,81,7.8
Catherine: Full Body,PlayStation4,,81,7.9
Borderlands 3,PC,,81,5.2
SnowRunner,PlayStation4,,81,7.0
Patapon 2,PSP,2009-05-05,81,8.6
Tiger Woods PGA Tour 06,PC,,81,7.5
CrossCode,PlayStation4,,81,7.4
Timespinner,PlayStation4,,81,5.8
Joe Danger 2: The Movie,PlayStationVita,,81,6.6
MadWorld,Wii,,81,8.6
Metal Arms: Glitch in the System,PlayStation2,,81,8.8
The Walking Dead: Saints & Sinners,PC,,81,7.9
Final Fantasy XV,PlayStation4,,81,7.6
RollerCoaster Tycoon 3,PC,,81,5.4
Dragon's Dogma: Dark Arisen,PC,,81,8.1
Puyo Puyo Tetris,Switch,,81,8.1
Overcooked! 2,PC,,81,7.6
Guild Wars 2: Heart of Thorns,PC,,81,7.3
AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,PC,,81,7.1
Tiger Woods PGA Tour 07,PlayStation3,,81,tbd
Pokemon Puzzle League,Nintendo64,,81,8.5
The Sims 2 University,PC,,81,7.8
Skulls of the Shogun,Xbox360,,81,8.1
Far Cry 3: Blood Dragon,PC,2013-05-01,81,8.1
Assassin's Creed,PlayStation3,,81,7.3
Borderlands: The Zombie Island of Dr. Ned,Xbox360,,81,8.0
SUPERBEAT: XONiC,PlayStationVita,,81,7.3
IL-2 Sturmovik: Birds of Prey,PlayStation3,,81,7.3
Ni no Kuni II: Revenant Kingdom,PC,,81,6.9
FORM,PC,,81,tbd
MLB 14: The Show,PlayStation3,,81,6.7
Bravely Second: End Layer,3DS,,81,8.2
Terraria,Xbox360,,81,7.3
Sid Meier's Civilization: Beyond Earth,PC,,81,5.5
Pro Evolution Soccer 2018,PC,,81,6.9
EA Sports Active,Wii,2009-05-19,81,8.2
Awesomenauts Assemble!,XboxOne,,81,7.2
Plants vs. Zombies,DS,,81,7.9
DIRT 5,PlayStation4,,81,5.2
Assassin's Creed Origins,PlayStation4,,81,7.2
Captain Toad: Treasure Tracker - Special Episode,Switch,,81,8.2
Hatsune Miku: Project Diva f,PlayStationVita,,81,8.1
Halo: Reach Remastered,PC,,81,7.2
Madden NFL 07,Wii,,81,8.0
Laser League,XboxOne,2018-05-10,81,7.3
escapeVektor: Chapter 1,Wii,,81,7.2
LostWinds,Wii,2008-05-12,81,3.3
The Bug Butcher,PC,,81,7.5
WWE SmackDown! vs. Raw 2006,PSP,,81,8.2
Final Fantasy XII: Revenant Wings,DS,,81,8.9
SoulCalibur V,PlayStation3,,81,6.6
Project CARS,XboxOne,2015-05-12,81,5.8
Pool Nation,PlayStation3,,81,7.7
Swords & Soldiers,PlayStation3,,81,6.4
Super Scribblenauts,DS,,81,8.3
Sonic the Hedgehog 4: Episode I,Wii,,81,6.5
NCAA Football 09,PlayStation3,,81,7.2
Disney's Toontown Online,PC,,81,7.6
Mortal Kombat: Deception,Xbox,,81,8.7
Mario vs. Donkey Kong,GameBoyAdvance,2004-05-24,81,8.1
Combat Mission 3: Afrika Korps,PC,,81,7.6
EverQuest: The Planes of Power,PC,,81,7.0
Rails Across America,PC,,81,7.0
007: The World is Not Enough,Nintendo64,,81,7.6
Flanker 2.0,PC,,81,tbd
Wasteland 2,PC,,81,7.2
Muramasa: The Demon Blade,Wii,,81,8.3
Anno 1800,PC,,81,7.9
Kingdoms of Amalur: Reckoning,PlayStation3,,81,7.7
Minit,PlayStation4,,81,6.8
Madden NFL 13,Xbox360,,81,5.8
Jamestown: Legend of the Lost Colony,PC,,81,7.4
Poker Smash,Xbox360,,81,8.5
Tales From The Borderlands: Episode 2 - Atlas Mugged,PlayStation4,,81,7.4
Call of Duty: Black Ops,PC,,81,5.6
Call of Duty: Modern Warfare,PC,,81,2.5
Castlevania Anniversary Collection,Switch,2019-05-16,81,8.3
Kohan II: Kings of War,PC,,81,7.9
Star Wars Pinball: The Force Awakens,PlayStation4,,81,4.8
College Hoops 2K8,Xbox360,,81,6.9
Monaco: What's Yours Is Mine,Xbox360,2013-05-10,81,7.4
Midnight Club: Los Angeles,Xbox360,,81,8.4
Metal Gear Online,PlayStation3,,81,7.8
Xenosaga Episode III: Also sprach Zarathustra,PlayStation2,,81,8.8
The Age of Decadence,PC,,81,8.0
Galactic Civilizations III,PC,,81,6.6
Moonlighter,PlayStation4,2018-05-29,81,7.3
Hand of Fate 2,Switch,,81,8.3
Stories Untold,PC,,81,7.0
Marvel: Ultimate Alliance,PSP,,81,7.9
Pinball Fantasies,PSP,,81,7.2
Catan,Xbox360,2007-05-02,81,7.7
Planet Zoo,PC,,81,8.1
Tiger Woods PGA Tour 09 All-Play,Wii,,81,8.3
Madden NFL 08,PlayStation3,,81,5.8
Far Cry 5,PlayStation4,,81,6.7
Neon Abyss,XboxOne,,81,6.6
Slime Rancher,PC,,81,7.9
Nelly Cootalot: The Fowl Fleet,PC,,81,7.7
Order of Battle: Pacific,PC,,81,5.6
Mortal Kombat: Deadly Alliance,GameBoyAdvance,,81,7.6
Mass Effect 2: Overlord,Xbox360,,81,7.6
MX Unleashed,Xbox,,81,8.1
Fatal Frame II: Crimson Butterfly,PlayStation2,,81,8.8
Secret Weapons Over Normandy,PlayStation2,,81,8.3
NHL Hitz Pro,Xbox,,81,7.5
Pokemon Pinball: Ruby & Sapphire,GameBoyAdvance,,81,7.7
Freekstyle,PlayStation2,,81,7.6
Bomberman Generation,GameCube,,81,8.3
All-Star Baseball 2003,PlayStation2,,81,8.3
Empire Earth,PC,,81,8.3
FIFA Soccer 2002,PlayStation,,81,5.4
Ooga Booga,Dreamcast,,81,8.9
XGIII: Extreme G Racing,PlayStation2,,81,8.0
Star Trek: Deep Space Nine: The Fallen,PC,,81,7.7
Railroad Tycoon II: Gold Edition,Dreamcast,,81,8.1
Parasite Eve,PlayStation,,81,8.9
Valiant Hearts: The Great War,XboxOne,,81,8.1
Fast RMX,Switch,,81,7.9
Maldita Castilla EX: Cursed Castilla,XboxOne,,81,7.8
Sam & Max Episode 101: Culture Shock,PC,,81,7.7
Overcooked!,PC,,81,7.9
Child of Eden,PlayStation3,,81,7.9
Prince of Persia Classic Trilogy HD,PlayStation3,,81,8.0
Mirror's Edge,PC,,81,8.0
Street Fighter: 30th Anniversary Collection,Switch,2018-05-29,81,7.7
Danganronpa 2: Goodbye Despair,PlayStationVita,,81,8.9
FIFA Soccer 08,PlayStation3,,81,7.1
Worms: Open Warfare 2,DS,,81,8.1
RAGE,PlayStation3,,81,6.3
TrackMania 2 Canyon,PC,,81,7.6
The Last Campfire,Switch,,81,7.6
Gunvolt Chronicles: Luminous Avenger iX,Switch,,81,7.9
Motorsport Manager,PC,,81,8.3
Zero Escape: Zero Time Dilemma,3DS,,81,8.0
WWE SmackDown vs. Raw 2010,PlayStation3,,81,8.0
Marvel: Ultimate Alliance,PlayStation2,,81,8.0
Capcom vs. SNK 2: Mark of the Millennium 2001,PlayStation2,,81,8.1
Onimusha: Dawn of Dreams,PlayStation2,,81,8.8
Battlefield V,PC,,81,2.9
Mortal Kombat: Deception,PlayStation2,,81,8.5
The Vanishing of Ethan Carter,PlayStation4,,81,7.4
Pokemon FireRed Version,GameBoyAdvance,,81,8.6
NBA 2K6,Xbox360,,81,8.6
My Friend Pedro,PC,,81,8.0
Perfect Dark Zero,Xbox360,,81,7.2
South Park: The Fractured But Whole,PC,,81,6.8
Skylanders: Spyro's Adventure,Wii,,81,5.9
Necrobarista,PC,,81,7.5
FIFA Soccer 2005,PlayStation2,,81,7.5
Remnant: From the Ashes,XboxOne,,81,7.3
FIFA 18,PC,,81,2.7
Star Wars Jedi Knight: Jedi Academy,PC,,81,8.6
The Warriors,PSP,,81,7.9
Cities: Skylines - Xbox One Edition,XboxOne,,81,6.3
WWE SmackDown vs. Raw 2007,Xbox360,,81,8.0
Sine Mora EX,PlayStation4,,81,7.2
Mortal Kombat Komplete Edition,PC,,81,8.7
Deus Ex: The Conspiracy,PlayStation2,,81,8.8
Ninja Gaiden II,Xbox360,,81,8.0
Valkyrie Profile,PlayStation,,81,8.8
Tiger Woods PGA Tour 10,PlayStation3,,81,7.4
Phoenix Wright: Ace Attorney Trilogy,Switch,,81,8.2
Tales of Vesperia: Definitive Edition,PlayStation4,,81,7.4
Nowhere Prophet,Switch,,81,5.7
Get Packed,Stadia,,81,7.3
Baldur's Gate and Baldur's Gate II: Enhanced Editions,PlayStation4,,81,5.5
Aragami: Shadow Edition,XboxOne,,81,5.5
Ys Origin,XboxOne,,81,7.4
The Darkside Detective,Switch,,81,8.4
Shadowrun: Dragonfall,PC,,81,8.3
MechAssault 2: Lone Wolf,Xbox,,81,7.6
Shadowrun: Dragonfall,PC,,81,8.3
MechAssault 2: Lone Wolf,Xbox,,81,7.6
Yooka-Laylee and the Impossible Lair,PC,,81,6.7
Eets,PC,,81,6.2
NBA Live 10,PlayStation3,,81,7.5
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,,81,9.0
A Plague Tale: Innocence,PC,2019-05-13,81,8.5
Steins;Gate 0,PlayStation4,,81,8.1
F1 2012,PlayStation3,,81,7.5
Pokemon LeafGreen Version,GameBoyAdvance,,81,8.5
Creature in the Well,PlayStation4,,81,6.4
World of Warships,PC,,81,6.3
Hatsune Miku: Project Diva F 2nd,PlayStationVita,,81,8.6
FIFA Soccer 2005,Xbox,,81,8.4
TOCA Race Driver 2: The Ultimate Racing Simulator,PC,,81,7.7
Harvest Moon: Friends of Mineral Town,GameBoyAdvance,,81,8.7
NHL Hitz Pro,GameCube,,81,7.8
MVP Baseball 2003,PlayStation2,,81,8.3
Wargame: European Escalation,PC,,81,8.1
Dishonored: Death of the Outsider,PC,,81,6.8
Rage of the Gladiator,Wii,,81,7.9
SteamWorld Quest: Hand of Gilgamech,Switch,,81,7.6
Redout,PlayStation4,,81,7.5
Sniper Elite 4,XboxOne,,81,7.3
Kinect Party,Xbox360,,81,6.8
Dungeon Defenders,PC,,81,7.3
Call of Duty: Black Ops III,PlayStation4,,81,4.9
Trine 4: The Nightmare Prince,PC,,81,7.9
Maldita Castilla EX: Cursed Castilla,PC,,81,7.4
The Walking Dead: Episode 4 - Around Every Corner,PlayStation3,,81,8.1
Age of Wonders: Planetfall,PC,,81,7.5
Katamari Damacy REROLL,PC,,81,8.0
Atlas Reactor,PC,,81,7.5
Etrian Odyssey Nexus,3DS,,81,6.7
L.A. Noire: The VR Case Files,PlayStation4,,81,7.1
Songbird Symphony,Switch,,81,7.8
Horace,PC,,81,7.0
Wargroove,XboxOne,,81,5.4
Lumines Remastered,XboxOne,,81,tbd
Antihero,PC,,81,6.9
Halo Wars: Definitive Edition,XboxOne,,81,7.7
Fall Guys: Ultimate Knockout,PlayStation4,,81,7.1
OutRun 2006: Coast 2 Coast,PlayStation2,,81,8.5
Subnautica,XboxOne,,81,8.1
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,,81,8.5
A Space Shooter for 2 Bucks,PSP,,81,7.1
X-Men Legends,GameCube,,81,8.4
Void Bastards,PC,2019-05-28,81,7.4
Redout (2016),PC,,81,7.9
God of War III Remastered,PlayStation4,,81,8.2
Super Monkey Ball Deluxe,Xbox,,81,7.2
The 2D Adventures of Rotating Octopus Character,PSP,,81,tbd
WRC 9 FIA World Rally Championship,PlayStation4,,81,5.8
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,PC,,81,7.7
Stick it to the Man!,WiiU,2014-05-01,81,7.5
Puzzle Quest 2,Xbox360,,81,8.5
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,PlayStation3,,81,7.1
Age of Empires III: The Asian Dynasties,PC,,81,8.4
Mortal Kombat: Deadly Alliance,GameCube,,81,8.6
BoxBoy! + BoxGirl!,Switch,,81,7.9
MLB 2006,PlayStation2,,81,8.6
Defense Grid: The Awakening,PC,,81,8.7
Battle Chef Brigade,Switch,,81,8.3
"Codename: Panzers, Phase One",PC,,81,8.8
Affordable Space Adventures,WiiU,,81,8.1
Prince of Persia,Xbox360,,81,7.1
Dragon Quest VII: Fragments of the Forgotten Past,3DS,,81,8.3
AVICII Invector Encore Edition,Switch,,81,7.3
Yooka-Laylee and the Impossible Lair,Switch,,81,7.8
Darksiders: Warmastered Edition,PlayStation4,,81,7.7
FIFA 16,PC,,81,4.5
3D After Burner II,3DS,,81,7.8
Europa Universalis IV: Conquest of Paradise,PC,,81,7.7
NFL Street,Xbox,,81,8.7
Ghost Master,PC,,81,7.9
Tom Clancy's Ghost Recon: Island Thunder,Xbox,,81,7.8
Def Jam Vendetta,GameCube,,81,8.2
Divine Divinity,PC,,81,8.5
F1 2002,PlayStation2,,81,6.4
Mega Man Battle Network 2,GameBoyAdvance,,81,8.9
Breath of Fire II,GameBoyAdvance,,81,8.3
Dave Mirra Freestyle BMX 2,PlayStation2,,81,8.4
Knockout Kings 2001,PlayStation2,,81,tbd
The Book of Unwritten Tales 2,PC,,80,7.6
Sid Meier's Civilization Revolution,DS,,80,7.8
Donkey Kong Jungle Beat,GameCube,,80,8.2
Call of Duty: Modern Warfare,XboxOne,,80,3.7
Dungeon Defenders,PlayStation3,,80,6.7
Ultimate Marvel vs. Capcom 3,PlayStation3,,80,6.6
I Am Dead,Switch,,80,6.6
Mario Power Tennis,GameCube,,80,8.5
Final Fantasy VIII Remastered,PlayStation4,,80,7.0
Gears Tactics,PC,,80,7.7
The Legend of Heroes: Trails of Cold Steel II,PlayStationVita,,80,8.2
Buzz! Quiz World,PlayStation3,,80,7.9
Plants vs Zombies: Garden Warfare 2,XboxOne,,80,7.9
Phoenix Wright: Ace Attorney Trilogy,PC,,80,8.6
Shantae: Half-Genie Hero,WiiU,,80,8.4
Ghostrunner,PC,,80,8.3
Madden NFL 25,Xbox360,,80,5.6
Disgaea 5: Alliance of Vengeance,PlayStation4,,80,8.2
Lovers in a Dangerous Spacetime,PC,,80,7.6
Age of Conan: Hyborian Adventures,PC,2008-05-20,80,7.3
Company of Heroes 2: The Western Front Armies,PC,,80,6.9
Rogue Legacy,Switch,,80,8.4
Darksiders: Warmastered Edition,XboxOne,,80,8.2
Sid Meier's Civilization V: Gods & Kings,PC,,80,7.7
